project_id,period,baseline_budget,baseline_duration_months,PV,EV,AC,CPI,SPI,forecast_duration_months,forecast_EAC,late_flag,overrun_flag,risk_state
139,11,1263947.37574213,11,1281537.0981214133,1347029.103946701,1340119.6276308694,1.005155865322297,1.0511042605955703,10.465184484902808,1257464.0603990837,0,0,0
88,1,759230.0197812374,11,68329.55159201636,63359.79341409294,66256.60777466222,0.9562788609640068,0.9272678063570948,11.862808052417009,793942.0714747075,1,0,1
104,14,1207594.3849252837,17,1021931.5660388935,997897.6254820682,1023346.3598337799,0.9751318465081116,0.9764818493179702,17.409437781023534,1238390.8793970852,0,0,1
16,5,761665.3653731912,17,229006.0873053975,216699.6893257368,239042.7783615615,0.9065310017354722,0.9462616993091142,17.965431774753288,840197.8133291098,1,1,1
485,6,964762.7790137721,25,226612.45786010756,219782.08587881882,238601.71159318916,0.9211253532562357,0.9698587975004214,25.776948215999596,1047374.0361214415,0,1,2
488,5,905978.9239481351,21,217674.9343243832,209837.90819511702,222076.0638188447,0.944892054491245,0.9639966532959311,21.7843079933944,958817.3798709083,0,1,1
300,9,741070.836831406,21,327729.3400692902,344609.571579461,301778.78507873096,1.1419277584060652,1.0515066228327372,19.971343540781923,648964.7277388313,0,0,1
346,7,712542.5182191057,17,288224.4909348955,257040.46749586766,281418.838537215,0.9133733506681233,0.8918064757860159,19.06243166155149,780121.8611183347,1,1,1
62,10,743269.0937225164,25,284474.8724702747,297446.4708601497,281921.8445609164,1.0550671279957478,1.04559839776791,23.909753547221115,704475.6433028706,0,0,0
406,14,798941.8253602925,17,668145.5787770097,715920.6898203351,644936.5704105417,1.1100637220255747,1.0715040442694752,15.86554907647612,719726.0927529759,0,0,0
23,11,1022098.3495729705,16,711872.4160402707,698054.4331777738,771037.2190624641,0.9053446654969095,0.980589242466567,16.316719893595526,1128960.4815995456,0,1,2
328,15,1055110.5351293236,18,848704.0096993463,804348.5151862176,836965.6366733182,0.9610293182205859,0.9477373807520462,18.99260318899386,1097896.3025633139,1,0,1
406,7,1279075.7478336259,7,1253905.526620361,1291329.8792163613,1275956.7552633272,1.0120483111121281,1.0298462298805475,6.797131257947057,1263848.5078128972,0,0,0
251,15,942305.8575359447,20,722688.5203344323,760184.9232661056,745131.859755216,1.0202018787867084,1.0518845974117887,19.013492591498093,923646.4636358023,0,0,0
221,8,1045598.5010889759,23,370569.50841657066,381137.02049039624,374926.82837693277,1.0165637442920463,1.0285169498132216,22.362295540366926,1028561.6686213317,0,0,1
247,3,1354392.6336680308,9,434980.6610009505,452184.00166073244,453869.856270405,0.9962855990844474,1.0395496678408522,8.657594993698595,1359442.1468228304,0,0,2
174,10,1076653.83706118,25,439373.878920671,447173.11034745193,412353.0359594338,1.0844423863813715,1.017750785381097,24.563970236229043,992817.9224475164,0,0,0
388,18,860321.9182758683,22,677359.2789113956,613067.653998551,717574.9458154133,0.8543604505336988,0.9050848982003028,24.307112010978685,1006977.6962855028,1,1,2
10,9,837635.920391757,17,433528.4961499461,444609.95737293805,442009.7151308199,1.0058827716973338,1.0255610907273767,16.576291898850016,832737.1180424178,0,0,1
102,4,920944.5651904576,23,159192.52310491487,163759.17121523296,153296.29787065805,1.0682526159464258,1.0286863228325647,22.35861359239985,862103.7303751794,0,0,1
122,2,1017649.4764200961,20,103110.09479558136,103048.68834738473,101700.63022700667,1.0132551599470825,0.9994044574557092,20.01191794853121,1004336.8310833405,0,0,1
222,9,1328756.1920726576,20,586370.9144901702,546987.5227579243,660256.8919447329,0.8284465174559815,0.9328353593962135,21.44001060695768,1603913.0638789358,1,1,2
18,1,905744.3337820782,15,61780.57934217943,58151.05510057791,63416.381566443386,0.9169721397562107,0.941251372514671,15.936231742138789,987755.5647687208,1,1,2
284,1,1158488.008068309,16,73958.64711110327,69923.3509986849,63616.158379385226,1.0991445063640233,0.9454384812318644,16.923364468043136,1053990.6275841694,1,0,1
55,6,1173451.1945348536,21,320971.81854980974,304860.8285180026,332647.7091847764,0.9164675423893,0.9498055931994323,22.109787676930004,1280406.7141053113,1,1,1
436,7,1162351.9065664057,21,387426.809484253,396145.47449820087,393341.9163196632,1.0071275347534008,1.0225040312144487,20.53781634000785,1154125.8345707052,0,0,0
259,20,949262.3344474569,20,939027.4919866449,939417.5167127578,1052675.8826809723,0.8924090806756527,1.0004153496350652,19.991696456172594,1063707.614593926,0,1,1
8,6,874380.489387221,18,305547.4483929212,294835.61707698833,354214.41381018155,0.8323648208031041,0.9649421673384165,18.653967677305566,1050477.4679732118,0,1,2
274,1,808199.623311226,12,64239.84269931287,67031.83208359235,60442.524562501465,1.1090177415451454,1.0434619586064047,11.500179667332192,728752.6547458088,0,0,0
68,13,765427.7963017114,20,514316.5944858589,501106.0669841577,525390.1014162116,0.9537790408182507,0.9743144054783859,20.52725474194344,802521.0908860483,0,0,2
381,4,822283.4987310371,17,195782.71376503835,199133.9262947918,197427.289482134,1.0086443815195683,1.01711699907161,16.71390805140119,815236.2852527171,0,0,1
40,15,951063.4477564258,17,829677.7209506861,817000.6953892014,844980.0806590633,0.966887520889204,0.9847205423969215,17.26378121311461,983634.0083092338,0,0,0
441,1,900659.9572784443,15,61333.36499550642,59764.34931293141,59932.50852162504,0.9971941903844563,0.9744182357728136,15.39380057691907,903194.148103897,0,0,1
483,2,1034873.9838575256,23,92112.99471514802,78343.81284554838,99164.5646423474,0.7900383884919746,0.8505185732786159,27.042325379607647,1309903.4160009532,1,1,2
47,5,891121.2668969291,13,328204.9255576561,310870.01993679383,338502.2549399094,0.9183691257595291,0.9471826768248272,13.72491317469928,970330.1667071343,1,1,1
185,2,999560.436126211,17,120434.80151498136,124675.81080359066,120375.72329613955,1.0357222153246992,1.0352141510199753,16.421722967417175,965085.4460168632,0,0,1
414,11,1122203.2541125168,16,768547.5319125089,809845.5677146696,710189.1110894674,1.1403238307502688,1.0537351745823602,15.184080769004865,984109.271288464,0,0,1
392,15,857672.825556712,15,844242.3203154122,820520.5940329639,871278.7724334903,0.9417428956076156,0.9719017565080298,15.433658700128166,910729.2760656704,0,1,1
17,14,998680.7965771643,20,690292.3374622186,636175.8198554227,733813.1060860008,0.8669452951701093,0.9216034791784752,21.70130696319437,1151953.649372082,1,1,1
429,7,1213873.969196958,12,708691.4932205495,760379.7464211533,775623.8973286005,0.9803459499379131,1.0729347730219163,11.184277275497418,1238209.806725712,0,0,1
323,10,1185659.0472300628,22,547709.6282954148,540374.5380378284,578889.8630278688,0.9334669209984314,0.9866077025514144,22.29862988410384,1270167.1806022734,0,1,2
35,15,1011309.9314719094,17,921673.897768734,976303.8468451202,878739.13226833,1.111028075334419,1.0592725357728356,16.04874989758604,910246.9630819234,0,0,0
346,6,867108.1918838808,19,265323.2381508399,255884.25894839867,272070.738624806,0.9405063559638106,0.9644246042366064,19.70086610869858,921958.8856422846,0,1,0
316,3,828279.2222854998,16,149409.611724054,143429.57225629632,154567.0449086756,0.9279440668678129,0.9599755370571321,16.667091381358578,892596.064632729,0,1,1
480,15,1287141.4551745476,19,1019950.7127929156,1025896.6383478716,1094784.1447066697,0.9370766313232866,1.0058296204712425,18.88987917366988,1373571.1810003407,0,1,2
342,2,1141481.5848170845,19,120221.28112754393,110845.43273144233,114771.84248459917,0.9657894334694181,0.9220117411146644,20.607112851979505,1181915.5866269162,1,0,1
209,16,1078033.1097732587,20,851521.1095382128,810782.3397063265,856162.0694457581,0.9469963324014009,0.9521576513188508,21.00492494315163,1138370.944942916,1,1,1
449,3,1080080.3858978534,15,215276.17425166626,221430.88883078558,208588.55689297093,1.0615677682856026,1.028589854871372,14.58307208549689,1017438.9409374666,0,0,1
57,13,931238.7588170264,21,603216.5411936156,594388.3415108508,626051.8573749132,0.9494234934517564,0.9853647917789257,21.31190415489446,980846.5508172576,0,1,1
435,15,776573.754764322,16,730794.4710504749,794004.2945344647,795989.468595016,0.9975060297417561,1.0864946657206223,14.726257297718007,778515.3488900401,0,0,1
62,6,1064312.168118032,22,287277.8807986483,296467.7929409453,271273.8344950517,1.0928727921466865,1.031989626617784,21.318043740519204,973866.469882049,0,0,0
302,18,710560.0150149908,20,631487.9093916629,597904.417195621,648059.9838958444,0.9226065982369243,0.946818471586583,21.123373276068445,770165.7633631185,1,1,2
453,9,951156.83353259,9,1012809.6215673018,1026621.6527692955,975851.8919974194,1.0520260924718383,1.0136373420116407,8.878915196769302,904119.0521213727,0,0,1
186,5,1035443.829789501,14,373918.75029336347,376296.2296811662,365321.4660979844,1.0300413871114766,1.0063582780642517,13.911546518928878,1005244.879230702,0,0,1
442,13,980626.7619087744,24,537171.6072776496,536213.8375258108,531126.5801713095,1.0095782390571761,0.9982170134480997,24.042868110510152,971323.1961344185,0,0,1
194,13,846093.9311430583,18,585002.2300361049,562029.3084117783,551775.2170941097,1.0185838200049488,0.9607301982029901,18.73574915586949,830657.1482148102,0,0,1
209,9,1040748.0104489143,25,372897.8137532619,392723.97365456,348545.29295846476,1.1267516204884163,1.0531678094375116,23.737907459735496,923671.1902821832,0,0,0
126,11,946544.0415150372,11,976450.4242594531,883394.5217365369,1055744.774073132,0.8367500776995024,0.9046998186380117,12.158729087135274,1131214.7638126237,1,1,2
106,10,1251015.0971906353,10,1262214.5446942444,1186914.8617906284,1255053.3733533972,0.9457086742209947,0.9403431982144871,10.634415199671658,1322833.4806394046,1,1,1
218,2,1100925.7768895081,18,124539.21901152296,111408.0888543746,120761.34441246912,0.9225476032616216,0.8945622892019789,20.1215725470134,1193353.8963162869,1,1,1
214,14,1065828.6169309197,17,896024.0287389185,973567.0651998749,912590.4583312393,1.066817055023934,1.0865412466338564,15.64597759419314,999073.4699184275,0,0,0
155,6,868960.9098298613,17,301642.94386778324,333469.8729852882,291137.26788161555,1.14540428098297,1.1055119297982168,15.377491225357396,758649.9581476429,0,0,0
27,5,902610.5620584795,12,377133.402276927,378754.9529753264,362160.3851550816,1.0458210464215705,1.0042996740373813,11.948624808130074,863064.0635383017,0,0,1
218,4,1068750.1950461217,17,254502.3308922666,258871.0781266927,258204.34595379318,1.0025821880357462,1.0171658437041013,16.7131054441358,1065997.5888261206,0,0,1
285,12,994425.4540428468,20,622268.9815847232,661880.0618608579,613429.5305247337,1.07898304356929,1.0636558810552597,18.803073772466593,921632.1423859216,0,0,0
127,7,831648.9443871166,7,874808.378337541,851686.4156946044,925640.7867074982,0.9201046755124638,0.9735691115728945,7.1900391218152215,903863.4043718117,0,1,2
287,6,1011634.2587223832,17,354835.2843057792,372915.2492783768,343678.6289651806,1.0850696489369385,1.050953120425919,16.17579287752666,932321.957132889,0,0,0
450,4,1209765.35657865,23,212486.76372311954,226789.37597378468,195747.65090393808,1.1585803197458555,1.0673106032585735,21.549490775955377,1044179.1008879059,0,0,1
227,3,769996.784218388,26,89615.74624674025,89803.93653933822,97413.88898354552,0.9218802110909182,1.0020999690398138,25.945515221313226,835246.027580094,0,1,2
10,13,873243.2008046274,13,882270.9175057427,939059.6575542171,930794.9202729906,1.0088792247370695,1.0643665555802533,12.21383735879683,865557.7192921273,0,0,1
84,10,992848.3477579191,25,380478.64592660835,419878.7810742132,381044.62207876396,1.1019149903850947,1.1035541299608307,22.65407678813847,901020.8195923906,0,0,1
329,5,1238569.8580236586,19,334060.36325488135,350358.63578647625,319095.00546605507,1.097975931258338,1.0487884057024737,18.11614229971763,1128048.2775284452,0,0,1
259,15,1053624.8847921928,19,855425.8520174203,817148.1445576028,883129.9381773974,0.9252864264165162,0.9552530387414128,19.890017858549104,1138701.3304331186,0,1,2
98,6,964887.6890379782,22,254456.034177541,241425.01914813978,249871.65773248213,0.9661960917817038,0.9487887364450979,23.187459078012612,998645.8207036287,1,0,1
368,11,872070.8098244523,11,850565.2997664774,888256.4232625654,859811.3257241342,1.0330829528379086,1.0443130274729477,10.53324023604115,844144.0326053669,0,0,0
500,9,828065.549967264,14,503866.44746887934,509389.88893020584,502859.19886607473,1.01298711464135,1.0109621140464362,13.848194512417646,817449.2429357724,0,0,0
201,11,958203.1263775441,18,569701.7536781977,522053.25836750394,633145.2364059262,0.8245395027070879,0.9163623861028019,19.642883943056862,1162106.9981870104,1,1,2
361,10,996550.6035842414,23,431357.4275729443,429393.803153541,422406.40672211896,1.0165418808053703,0.9954478019992568,23.10517935124957,980334.0348306254,0,0,0
381,19,1063633.0307749726,19,1058038.3241345035,1131460.7340323061,1110002.7181459197,1.0193314985050024,1.0693948491495935,17.767057710357612,1043461.3590720437,0,0,0
376,6,831042.8515898068,8,655086.8550115359,714412.8179026089,662815.9038166126,1.077845015167699,1.0905619803499618,7.33566743032138,771022.5866383092,0,0,0
455,8,1124352.5764752505,18,495793.82760135434,513329.35064905504,497105.0815710753,1.0326375039794478,1.0353685787750473,17.38511325241871,1088816.3291981579,0,0,1
166,16,942275.0023743528,16,938631.4254117381,1013693.9471312005,995154.4021052383,1.018629817631055,1.0799701775236596,14.81522391357837,925041.6452227223,0,0,0
297,7,994556.6314299295,19,388784.552880459,394779.76368946396,374149.83351725346,1.0551381514145701,1.0154203935433832,18.7114618938252,942584.2768518776,0,0,0
331,6,1199535.384866583,21,335095.74647990713,334689.2147973658,368963.5918168759,0.9071063438787176,0.998786819329067,21.025507739586217,1322375.698242238,0,1,2
145,7,1162747.6802625938,22,383919.65310195246,387966.2217973195,377918.03260015923,1.0265882766377314,1.0105401446960893,21.770535406702024,1132632.9227826465,0,0,0
245,1,1039808.0600293973,20,51272.46068776738,52832.25580844486,54971.49106682549,0.9610846419323047,1.0304216942146804,19.40952923670991,1081911.0145583176,0,0,1
273,5,1078160.562187186,20,268238.2463721951,269433.65759379877,269149.8694007121,1.001054387259108,1.004456527873154,19.911264893014526,1077024.960790787,0,0,0
490,4,874950.6172221567,12,282519.89396264823,280790.9603230691,269915.6061985503,1.0402916833068143,0.9938803118770543,12.073888431632835,841062.7819698781,0,0,1
326,20,1111571.6260374882,20,1136121.2728686184,1147013.838664092,1121419.0011019588,1.0228236168077967,1.0095875027214045,19.810070891417322,1086767.6574644137,0,0,1
481,8,854311.2752257518,23,299036.0787163798,284562.35705203697,308409.9619414554,0.9226756336296772,0.9515987444509315,24.16985114169198,925906.401001412,1,1,1
176,13,776889.0492320152,13,785989.7134637763,758085.1439465319,779133.0207727081,0.972985515611568,0.9644975385310429,13.478520660404554,798459.0076283953,0,0,2
28,7,1055403.7089549857,16,488548.3589591216,520084.86527305935,494934.18464100367,1.0508162123622529,1.0645514527592068,15.029804297884956,1004365.650756777,0,0,1
53,12,929981.6217934721,21,520718.2516826636,519690.6357847635,517440.79266935756,1.0043480203866408,0.9980265414270011,21.041524577065577,925955.5481928065,0,0,0
451,9,1183676.2789731883,16,682800.2239637581,729968.1829860357,676377.2862568577,1.0792322536816037,1.0690801750890773,14.966136659176994,1096776.2267438662,0,0,1
150,7,1231568.0096775326,18,469628.47532929963,468383.7755676069,470257.24234673334,0.9960160809650113,0.997349607557719,18.047833842415482,1236494.1020674102,0,0,0
342,13,987057.3761196887,17,753906.6025399113,759625.9277729692,776311.3735589994,0.9785067611343427,1.007586251683948,16.872004725737792,1008738.4321958427,0,0,1
208,12,914890.8736370794,18,589191.3062553497,643347.4618629619,539635.4547826775,1.1921890160498283,1.0919160806221087,16.484783326704626,767404.213023584,0,0,0
499,15,980424.0701907711,15,1000160.4871475282,932970.758034629,1056035.7308688264,0.8834651430468656,0.9328210522448,16.080254582487225,1109748.4466784017,1,1,1
433,4,1079494.9691836685,17,256437.27007893616,287551.58941985405,260294.5671473538,1.1047160629252393,1.1213330625900841,15.160526847155438,977169.6143579315,0,0,1
169,1,933854.9662385047,17,55532.155151920306,53175.45353408931,54597.66500090947,0.9739510569399541,0.957561495472601,17.753428975973716,958831.5137442051,0,0,1
255,10,1156395.059008955,19,636960.8508112102,700291.5701754249,651209.5688286378,1.0753705161843263,1.0994263921927996,17.281739036757713,1075345.698626854,0,0,2
213,8,978200.9560218343,20,384373.5788899968,396029.89238606073,381686.77219988883,1.0375782480055673,1.0303254805643127,19.411341733532527,942773.1912288369,0,0,0
113,15,818950.25805205,18,704491.8656943117,646058.0639980945,681938.6558172004,0.9473844289174245,0.917055391919071,19.628040092902562,864432.888123213,1,1,2
183,9,1049153.3057367732,16,586504.6364849838,606959.2261898534,572824.1112872984,1.059590918451117,1.0348754100691466,15.460798318641022,990149.3939476178,0,0,2
325,16,1010247.9121683867,16,1074852.8344955537,1062391.3399072615,1048652.5754432615,1.0131013500426418,0.9884063248582857,16.187674641088545,997183.4625685427,0,0,0
186,12,965175.8147986688,12,1007130.9444087829,995089.7711827205,946045.7015463156,1.0518411209482188,0.9880440837480862,12.145207078695028,917606.0866764531,0,0,0
384,14,1048446.7196405206,21,680297.5056635201,674371.4789732284,704729.2863056195,0.9569227390966892,0.9912890659734055,21.184537105106525,1095644.0648805439,0,0,1
325,13,1169356.1999899521,13,1206199.4464980937,1031163.5598439424,1158395.6689517268,0.8901652410156875,0.8548864475420501,15.20669796249233,1313639.4751335212,1,1,2
31,3,1002419.4122914006,16,185510.81016380174,182737.4503398249,184683.97913945754,0.9894602184298682,0.9850501444011374,16.2428279321021,1013097.2358667403,0,0,2
500,3,1020861.6576418806,16,196251.67387606064,202826.86154281517,202815.17275916837,1.0000576326883623,1.033503855212501,15.48131622277326,1020802.8260307285,0,0,0
303,11,1215133.1769446633,15,895438.2851852818,907003.0560456626,850232.5242687586,1.0667705952859536,1.0129152070575003,14.80874203041607,1139076.3696659077,0,0,0
249,11,1123074.880806961,13,930627.7527875557,973846.8398981761,893601.5083945004,1.0897999060541532,1.046440789006307,12.423063145641246,1030533.1048093836,0,0,1
68,13,1201167.341752193,13,1196687.006034844,1248418.4959524209,1176127.8577884298,1.0614649484622574,1.0432289225642937,12.461310953731553,1131612.818202167,0,0,1
144,5,732532.6469659677,13,271266.83045387256,256353.84168737128,258801.0269094279,0.9905441440813407,0.9450246506675752,13.756254919717348,739525.4934804947,1,0,1
259,22,1025182.3427238088,23,1017078.688221753,952625.1944437673,1066936.4308673153,0.8928603119019715,0.9366288031355025,24.556152792871757,1148200.148509194,1,1,2
178,1,1040813.7614763611,22,46520.52301411361,43127.52402079071,47877.602846484224,0.9007870372933192,0.9270644701846211,23.730819924118965,1155449.310864634,1,1,1
195,21,756540.9292479492,23,725040.8721972272,674412.5527464742,823366.6551651413,0.8190914078384779,0.9301717718377386,24.726615767493076,923634.3123710761,1,1,2
28,6,1019030.0464443763,6,979957.7331359496,987933.1076608595,882583.5186670487,1.1193650082577098,1.0081384882788649,5.9515632720693405,910364.3931397278,0,0,0
75,9,898373.6324679046,9,933062.3249345996,919115.1318098877,903128.1721638208,1.017701761653347,0.9850522384711123,9.136571288816917,882747.4475512519,0,0,1
486,3,847389.7349587128,13,191708.81357276812,192042.03988785748,172644.18735018204,1.112357403022958,1.0017381898561637,12.977442740669224,761796.2829714934,0,0,0
